date,value
21/08/2001,62.8878099
22/08/2001,61.49084102
23/08/2001,59.68239605
24/08/2001,62.44957992
25/08/2001,63.81958455
26/08/2001,61.45936383
27/08/2001,66.2665617
28/08/2001,62.96726414
29/08/2001,73.74870133
30/08/2001,73.93254341
31/08/2001,74.15616496
01/09/2001,73.20538997
02/09/2001,74.30957105
03/09/2001,74.73037319
04/09/2001,74.10389569
05/09/2001,73.48083023
06/09/2001,72.77379856
07/09/2001,72.83145478
08/09/2001,71.12027973
09/09/2001,70.82754688
10/09/2001,68.52530442
11/09/2001,68.12866937
12/09/2001,66.77598135
13/09/2001,62.98050621
14/09/2001,65.40378914
15/09/2001,63.72980039
16/09/2001,63.00914519
17/09/2001,61.39488689
18/09/2001,62.08015525
19/09/2001,63.08271767
20/09/2001,61.13691087
21/09/2001,60.31222658
22/09/2001,58.94040863
23/09/2001,58.42224756
24/09/2001,55.50539389
25/09/2001,56.67777704
26/09/2001,54.027603
27/09/2001,54.31986746
28/09/2001,52.50761442
29/09/2001,53.93042909
30/09/2001,53.68948756
01/10/2001,53.1985363
02/10/2001,53.25373917
03/10/2001,50.78090044
04/10/2001,54.11300935
05/10/2001,51.85719613
06/10/2001,51.80046604
07/10/2001,52.09774795
08/10/2001,51.79780226
09/10/2001,50.25874411
10/10/2001,48.4383596
11/10/2001,48.54247558
12/10/2001,46.9235316
13/10/2001,48.72531973
14/10/2001,46.04057516
15/10/2001,47.14749756
16/10/2001,44.44870773
17/10/2001,44.40691543
18/10/2001,44.6005773
19/10/2001,44.15602789
20/10/2001,44.3049267
21/10/2001,40.76872985
22/10/2001,42.94494534
23/10/2001,42.24404743
24/10/2001,41.82999884
25/10/2001,41.31558644
26/10/2001,39.70207894
27/10/2001,39.89882807
28/10/2001,37.96371732
29/10/2001,39.20357343
30/10/2001,36.31845356
31/10/2001,37.24523836
01/11/2001,35.22818602
02/11/2001,34.70060416
03/11/2001,35.40739154
04/11/2001,32.92934914
05/11/2001,32.72960838
06/11/2001,31.77554087
07/11/2001,31.72439066
08/11/2001,29.57615053
09/11/2001,30.08355852
10/11/2001,28.66634514
11/11/2001,28.12360489
12/11/2001,28.18260054
13/11/2001,27.66769935
14/11/2001,27.42223794
15/11/2001,27.15613603
16/11/2001,27.77416567
17/11/2001,26.7042592
18/11/2001,26.10650356
19/11/2001,25.86222777
20/11/2001,26.07231088
21/11/2001,24.20780741
22/11/2001,23.12455751
23/11/2001,23.92783489
24/11/2001,26.06664235
25/11/2001,23.40830984
26/11/2001,22.61852698
27/11/2001,21.63016553
28/11/2001,22.6297666
29/11/2001,20.10813994
30/11/2001,19.32661283
01/12/2001,18.80210825
02/12/2001,18.23213966
03/12/2001,17.8243419
04/12/2001,17.57128979
05/12/2001,17.66311211
06/12/2001,16.25532133
07/12/2001,14.48694886
08/12/2001,14.85486372
09/12/2001,14.16633337
10/12/2001,13.47326618
11/12/2001,13.35947737
12/12/2001,12.93306452
13/12/2001,12.30844914
14/12/2001,12.65968669
15/12/2001,10.82164612
16/12/2001,9.187058667
17/12/2001,9.00642439
18/12/2001,6.556264853
19/12/2001,7.743776655
20/12/2001,7.442900547
21/12/2001,6.115277605
22/12/2001,7.018686498
23/12/2001,5.361899989
24/12/2001,5.98362002
25/12/2001,5.175656291
26/12/2001,5.027588491
27/12/2001,5.001276587
28/12/2001,4.607493818
29/12/2001,4.435807887
30/12/2001,4.168637707
31/12/2001,3.92023657
01/01/2002,3.791958436
02/01/2002,2.589203984
03/01/2002,2.913210785
04/01/2002,2.953819724
05/01/2002,3.089990765
06/01/2002,2.719484657
07/01/2002,2.654766126
08/01/2002,2.056998565
09/01/2002,2.335293288
10/01/2002,2.104304756
11/01/2002,1.94819634
12/01/2002,1.986773331
13/01/2002,1.697663614
14/01/2002,1.948680398
15/01/2002,1.636577007
16/01/2002,1.651778198
17/01/2002,1.65586789
18/01/2002,1.457673741
19/01/2002,1.407213423
20/01/2002,1.231588177
21/01/2002,1.315801211
22/01/2002,1.155905251
23/01/2002,1.222708392
24/01/2002,1.075983802
25/01/2002,0.853500122
26/01/2002,1.064564615
27/01/2002,1.009671215
28/01/2002,0.969429805
29/01/2002,0.890863033
30/01/2002,0.90405647
31/01/2002,0.825797368
01/02/2002,0.916876379
02/02/2002,0.71684902
03/02/2002,0.822008436
04/02/2002,0.767886597
05/02/2002,0.728146147
06/02/2002,0.685466683
07/02/2002,0.679435864
08/02/2002,0.511719696
09/02/2002,0.570550691
10/02/2002,0.620519082
11/02/2002,0.662915894
12/02/2002,0.61275511
13/02/2002,0.638374591
14/02/2002,0.598986152
15/02/2002,0.741041983
16/02/2002,0.580023931
17/02/2002,0.600238838
18/02/2002,0.607425432
19/02/2002,0.545327233
20/02/2002,0.542390309
21/02/2002,0.521569095
22/02/2002,0.554569387
23/02/2002,0.511843689
24/02/2002,0.505920428
25/02/2002,0.5762591
26/02/2002,2.351688106
27/02/2002,2.384316725
28/02/2002,6.284211554
01/03/2002,7.639538105
02/03/2002,2.32522105
03/03/2002,0.89968605
04/03/2002,0.816042539
05/03/2002,2.147472731
06/03/2002,0.538356503
07/03/2002,0.485131957
08/03/2002,0.269519917
09/03/2002,0.46831156
10/03/2002,0.275998074
11/03/2002,0.455027308
12/03/2002,0.38073854
13/03/2002,0.386559856
14/03/2002,0.427664369
15/03/2002,0.497775542
16/03/2002,0.658937441
17/03/2002,0.519152702
18/03/2002,1.48319767
19/03/2002,1.152799766
28/03/2002,10.19985763
29/03/2002,8.410262799
30/03/2002,8.896300294
31/03/2002,9.786705982
01/04/2002,6.761347366
02/04/2002,3.980640098
03/04/2002,3.366855687
04/04/2002,2.494928328
05/04/2002,2.280237611
06/04/2002,4.763244067
07/04/2002,9.711037475
08/04/2002,4.932825343
09/04/2002,4.550616607
10/04/2002,4.893030525
11/04/2002,8.622212413
12/04/2002,8.538413612
13/04/2002,5.49835698
14/04/2002,3.964346126
16/04/2002,3.559170249
17/04/2002,3.464328653
18/04/2002,3.332883874
19/04/2002,2.953939275
20/04/2002,2.765513967
21/04/2002,4.614251025
22/04/2002,7.045521591
23/04/2002,2.671963531
24/04/2002,11.33792756
25/04/2002,25.58421031
26/04/2002,21.41337168
27/04/2002,19.26836152
28/04/2002,15.69557686
29/04/2002,16.23971549
30/04/2002,12.75722045
01/05/2002,11.35713089
02/05/2002,9.215758323
03/05/2002,9.267239481
04/05/2002,8.23235901
05/05/2002,7.786052055
06/05/2002,6.701137567
07/05/2002,6.495721699
08/05/2002,6.360199883
09/05/2002,4.298324582
